City,Lat,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed
Kodiak,39.95,45.0,78,90,6.93
Biak,-0.91,83.73,84,76,2.37
Bathsheba,13.22,77.0,78,40,18.34
Narsaq,60.91,19.4,73,68,3.36
Hadsund,56.72,41.0,86,0,16.11
Puerto Ayora,-0.74,78.01,91,0,1.99
Barrow,-38.31,53.58,75,92,4.27
Mataura,-46.19,63.0,86,88,1.01
Yacuiba,-22.01,68.16,98,92,3.71
Ende,-8.84,82.74,100,0,2.15
Avarua,-21.21,82.4,83,76,5.82
Sao Joao da Barra,-21.64,80.58,100,76,11.77
Ahuimanu,21.44,80.6,78,75,9.17
Cholet,47.06,39.99,86,0,5.82
Carnarvon,-30.97,50.25,89,0,12.33
Saint-Philippe,45.36,28.4,45,1,8.97
Marsh Harbour,26.54,73.83,100,64,6.96
Lebu,8.96,57.2,54,0,1.12
Sao Filipe,14.9,68.61,100,0,8.41
Albany,42.65,32.0,34,20,10.29
Athabasca,54.72,28.65,87,0,5.28
Busselton,-33.64,82.0,22,44,14.23
Mar del Plata,-46.43,47.55,100,68,6.06
Taltal,-25.41,55.74,96,0,0.92
Qaanaaq,77.48,-11.23,70,0,8.52
Poum,41.28,29.82,81,24,1.7
Aklavik,68.22,32.0,88,40,5.82
Geraldton,49.72,19.4,34,5,2.24
Atuona,-9.8,82.65,100,8,14.45
Faya,18.39,60.8,82,20,11.41
Moyale,3.52,66.81,79,12,3.71
Uyuni,-20.46,38.91,76,0,2.82
Hilo,19.71,73.99,60,75,10.29
Beringovskiy,63.05,33.33,95,92,36.6
Ushuaia,-54.81,44.6,70,75,12.75
Dukat,42.44,43.0,67,48,4.0
Yellowknife,62.45,30.2,92,90,6.93
Saskylakh,71.97,5.52,74,48,4.94
New Norfolk,-42.78,60.8,38,75,20.8
Bethel,60.79,41.0,86,90,21.92
Paita,-5.09,72.93,75,8,5.73
Tuktoyaktuk,69.44,12.2,85,20,6.93
Media Luna,-21.67,53.04,98,92,2.82
Caravelas,-17.73,82.65,100,20,9.64
Punta Arenas,-53.16,46.4,65,40,12.75
Bluff,-23.58,87.15,50,68,4.61
Vaini,15.34,78.8,65,8,3.49
Cayenne,4.94,77.0,78,0,7.74
East London,-33.02,62.6,88,75,8.05
Berlevag,70.86,26.04,100,20,11.88
Chumphon,10.5,89.6,70,40,9.17
Rikitea,-23.12,75.99,100,64,9.53
Zhaozhou,45.71,36.75,50,0,8.63
Belaya Gora,68.54,0.21,95,8,6.62
La Ronge,55.1,33.8,43,20,10.29
Wum,6.39,65.82,93,92,3.04
Cabo San Lucas,22.89,71.6,56,5,11.41
Nara,34.68,64.99,54,20,13.87
Chokurdakh,70.62,0.03,97,0,6.85
Kapaa,22.08,75.2,73,90,12.75
Caconda,-13.73,72.21,39,68,5.17
Chuy,-33.69,65.28,84,100,10.2
Bredasdorp,-34.53,60.8,87,32,4.7
Milkovo,41.53,48.99,78,0,3.36
Severo-Kurilsk,50.68,28.83,100,56,20.04
Upernavik,72.79,2.73,100,88,12.44
Nova Olimpia,-14.8,76.98,86,24,2.59
Jamestown,-33.21,66.18,63,0,7.96
Port-Cartier,50.03,-13.01,57,5,20.83
Ocampo,13.56,83.1,77,24,13.22
Mecca,21.43,65.46,34,64,4.94
San Patricio,-26.98,66.63,56,32,5.95
Abalak,15.46,71.85,35,36,9.53
Kahului,20.89,80.6,47,40,21.92
Tamandare,-8.28,75.9,96,24,1.81
Lorengau,-2.02,82.56,100,48,7.07
Ilulissat,69.22,21.2,92,88,12.75
Dikson,73.51,29.73,98,88,14.12
Vardo,39.62,41.0,86,90,5.82
Sinnamary,5.38,80.49,92,100,10.76
Jieshi,22.82,72.93,87,20,13.11
Tweed,44.48,28.4,42,5,11.41
Nemuro,43.32,39.2,89,75,6.93
Victoria,5.28,87.8,66,75,4.7
Khatanga,71.98,23.61,90,80,14.79
Flinders,-34.58,77.0,25,0,6.93
Kodinsk,58.6,24.33,50,8,3.38
Port Alfred,-33.59,65.46,95,8,10.2
Vila Franca do Campo,37.72,55.4,82,20,11.41
Andria,41.23,55.0,70,8,5.82
Elizabeth City,36.3,55.0,93,90,8.05
Zhigansk,66.77,4.98,59,0,4.38
Nikolskoye,59.7,30.2,86,75,8.95
Batagay-Alyta,67.8,5.61,75,0,4.27
Beira,43.2,53.01,61,0,8.05
Ramygala,55.51,28.4,92,0,6.93
Arraial do Cabo,-22.97,76.26,99,0,4.16
Del Rio,29.36,71.6,83,1,10.76
Ambon,47.55,43.0,77,0,6.93
Udachnyy,66.42,12.72,57,0,3.38
Tasiilaq,65.61,26.6,86,88,27.51
Faanui,-16.48,83.01,100,12,12.1
Yumen,40.29,48.81,43,48,18.7
Saint-Georges,46.12,19.0,61,44,3.0
Saint George,39.45,52.0,87,0,4.7
Cape Town,-33.93,62.6,72,0,23.04
Los Llanos de Aridane,28.66,60.8,67,0,4.7
Vredendal,-31.68,52.05,86,0,2.93
Isangel,-19.55,87.8,55,40,13.87
Mitsamiouli,-11.38,77.0,88,20,5.82
Mount Gambier,-37.83,64.4,52,75,16.11
Ancud,-41.87,50.0,76,0,9.17
Williams Lake,52.13,42.8,70,90,5.82
Leningradskiy,69.38,20.01,99,92,8.3
Esperance,10.24,77.0,88,40,3.36
Pangnirtung,66.15,4.89,83,76,9.08
Catalina,8.86,82.4,78,40,9.17
Padang,-0.92,86.0,70,40,3.36
Bambous Virieux,-20.34,77.0,94,40,12.44
Ostrovnoy,68.05,25.23,88,68,11.99
Longyearbyen,78.22,3.2,77,20,1.12
Bulgan,48.81,29.28,54,80,9.31
Ola,59.58,22.71,100,24,9.98
Georgetown,6.8,75.2,83,0,2.24
Mwinilunga,-11.73,63.75,93,56,2.48
Fairbanks,64.84,41.0,93,75,3.36
Arroyo,41.39,33.8,42,1,3.36
Pisco,-13.71,69.8,77,40,14.99
Gondanglegi,-7.75,78.42,96,68,2.93
Port Elizabeth,39.31,44.01,81,90,9.17
Chiang Khong,20.27,87.01,65,8,4.16
Posse,-14.08,68.7,95,64,4.38
Kaitangata,-46.28,64.56,97,80,10.98
Belgorod,50.6,39.2,86,75,11.18
Narathiwat,6.43,87.8,70,40,10.29
Hermanus,-34.42,62.01,68,32,1.01
Batemans Bay,-35.71,70.0,46,0,5.01
Donskoy,47.12,39.2,80,0,8.95
Manicore,-5.81,75.63,91,12,2.15
Hobart,-42.88,60.8,38,75,20.8
Kondinskoye,59.65,35.85,92,92,15.23
Tuatapere,-46.13,63.0,86,80,1.01
Ossora,59.24,21.27,91,64,25.86
Yulara,-25.24,80.6,24,0,12.75
Kloulklubed,7.04,87.8,66,75,10.29
Kayes,14.44,77.79,45,0,8.86
Haines Junction,60.75,34.23,64,48,2.04
Soverato,38.69,50.0,87,40,4.7
Mbengwi,6.0,58.35,95,80,1.92
Vranje,42.55,50.0,64,0,13.87
Vostok,46.45,26.76,79,80,5.95
Sarangani,5.4,81.75,95,32,10.31
Castro,-42.48,50.0,76,0,9.17
Alta Floresta,-9.87,74.01,97,64,2.15
Sitka,37.17,46.0,82,100,1.01
Butaritari,3.07,82.92,100,80,14.67
Hithadhoo,-0.6,84.45,100,80,7.85
Ponta do Sol,-20.63,68.88,77,20,2.48
Amarante do Maranhao,-5.57,71.85,97,76,3.15
Grand Forks,47.91,26.6,92,1,6.06
Dali,25.6,65.19,52,0,2.15
Ribeira Grande,38.52,61.05,97,88,8.97
Ust-Tsilma,65.44,29.91,90,88,7.85
Yeppoon,-23.13,93.2,41,40,8.05
Airai,-8.93,79.14,83,24,1.7
Cherskiy,68.75,7.5,75,48,11.99
Coquimbo,-29.95,57.2,87,90,2.24
Mayo,63.59,39.2,77,75,6.93
Kovur,14.5,81.57,64,0,4.5
Daro,8.52,70.86,94,48,3.04
Beipiao,41.8,35.31,31,88,5.61
Baiyin,36.55,51.8,10,0,4.47
Codrington,-28.95,82.4,69,90,3.36
North Augusta,44.76,28.0,68,75,6.93
Siocon,11.03,80.76,96,76,7.96
Port Lincoln,-34.72,66.0,86,44,7.96
Smithers,54.78,39.2,60,20,3.36
Fauske,67.26,28.4,68,75,6.93
Talnakh,69.49,27.21,95,92,15.46
Nome,30.04,69.01,93,1,4.7
Mahebourg,-20.41,77.0,94,40,12.44
Cruzeiro do Sul,-7.63,82.4,83,90,10.29
Mahajanga,-15.72,78.8,94,20,6.85
Katsuura,33.93,62.6,39,20,19.46
La Romana,18.43,78.8,100,20,3.36
Mogadishu,2.04,83.37,96,76,12.21
Cabinda,-5.56,79.95,100,68,3.94
Havre,48.55,39.99,93,1,6.93
Morden,49.19,26.6,100,1,11.41
Ahipara,-35.17,74.19,67,8,15.68
Praia da Vitoria,38.73,55.99,93,20,11.54
Geghamasar,40.31,21.63,90,56,3.04
Sur,22.57,75.36,83,20,10.54
Te Anau,-45.41,60.78,76,80,13.0
Robertson,-33.8,53.76,96,92,2.37
Petropavlovsk-Kamchatskiy,53.05,30.2,39,12,22.37
Yerbogachen,61.28,17.13,72,32,5.39
Belmonte,40.36,44.01,59,0,14.0
Naze,5.43,74.73,94,76,4.61
Balung,-8.28,81.3,100,24,0.92
Pokosnoye,55.53,23.34,47,0,3.49
Jerecuaro,20.15,69.8,28,5,8.63
Matagami,9.67,62.67,68,76,2.37
Madison Heights,42.49,32.0,55,1,4.7
Iqaluit,63.75,-4.01,58,40,10.29
Sasolburg,-26.81,57.99,45,0,8.75
Vilyuysk,63.75,12.81,59,0,3.94
Tavda,58.04,34.05,96,88,14.12
Alyangula,-13.85,77.0,100,40,6.93
Kenai,60.55,42.01,75,90,3.36
Camalu,30.85,56.82,69,0,4.83
Altay,47.83,26.49,77,24,0.81
Collie,-33.36,81.0,22,8,14.0
Krasnogvardeyskiy,57.38,31.53,84,0,7.85
Copiapo,-27.37,60.8,77,90,3.36
Norman Wells,65.28,41.0,60,75,8.05
Maningrida,-12.05,80.85,100,92,10.87
Nouadhibou,20.93,64.4,88,80,9.17
The Valley,18.22,78.01,78,75,16.11
Tiznit,29.7,58.71,97,92,1.59
Crucea,47.35,39.0,86,0,18.34
Fjerritslev,57.08,41.0,77,0,25.99
Bintulu,3.17,87.8,74,75,4.7
Jumla,29.28,32.7,97,64,2.15
Vanavara,60.35,21.99,71,24,3.94
Whitehorse,60.72,42.8,45,75,6.93
Rawson,-43.3,48.9,82,0,8.63
Havelock,34.88,64.99,88,90,16.11
Santa Isabel,4.71,73.4,100,75,3.36
Ixtapa,20.71,73.99,83,5,3.36
Nyurba,63.29,14.79,65,20,3.71
Saint-Augustin,44.83,43.0,65,0,11.41
Velasco Ibarra,-1.04,74.82,96,64,3.38
Ewa Beach,21.32,80.6,57,90,9.17
Kinshasa,-4.32,78.8,88,68,2.15
Souillac,45.6,41.0,65,0,8.05
Itaguai,-22.85,79.0,88,0,3.36
Porbandar,21.64,82.4,34,0,11.41
Egvekinot,66.32,21.63,86,88,10.76
Cairns,-16.92,86.0,79,75,8.05
Khasan,42.43,39.36,67,0,15.23
Serafimovich,49.58,34.0,82,56,1.01
Garowe,8.41,72.66,91,92,7.52
Timaru,-44.39,82.0,42,64,5.01
Broome,52.47,37.99,100,32,5.82
Inongo,-1.93,71.58,98,20,2.37
Karasjok,69.47,26.6,79,0,24.16
Olinda,-2.03,80.6,78,0,3.36
South Yuba City,39.12,57.2,93,90,5.82
Pekan,3.49,87.8,70,75,5.82
Astoria,46.19,46.99,87,75,9.17
Wucheng,29.09,64.11,67,8,2.82
Beloha,-25.17,70.68,90,0,6.73
Kavaratti,10.57,83.28,100,0,1.25
Valparaiso,41.47,33.01,65,1,11.41
Damavand,35.72,51.01,81,90,4.7
Ust-Nera,64.57,6.96,68,0,2.71
Komsomolskiy,67.55,28.74,91,88,15.46
Clyde River,70.47,-0.41,54,40,13.87
Honiara,-9.43,79.23,100,56,2.37
Provideniya,64.42,35.6,93,90,33.55
Nesna,66.2,13.35,84,0,1.7
Aykhal,65.95,9.57,65,0,3.94
Bafoulabe,13.81,75.9,57,0,7.18
Davidson,35.5,55.99,93,90,3.6
Kysyl-Syr,63.9,10.11,60,0,4.72
Maniitsoq,65.42,18.03,83,20,11.65
Lasa,34.92,48.2,76,20,8.05
Universal City,29.55,71.6,40,1,8.05
Corinto,-18.36,74.64,72,76,6.73
Constitucion,23.99,73.4,11,5,13.87
Kempele,64.91,15.01,78,0,3.36
Nago,45.88,46.4,75,75,9.17
Thompson,55.74,30.2,36,40,8.05
Inskoy,54.43,19.83,70,0,4.27
Masterton,-40.95,72.0,79,44,1.01
Takoradi,4.89,80.58,100,24,4.61
Bandarbeyla,9.49,79.86,100,92,5.61
Kaeo,-35.1,75.0,63,0,14.0
Sorland,67.67,36.48,100,48,7.85
Sioux Lookout,50.1,28.4,57,5,2.93
George Town,5.42,89.01,66,75,4.7
Hambantota,6.12,84.2,79,20,9.17
Husavik,50.56,26.01,50,0,9.08
Tuy Hoa,13.08,78.24,92,76,8.75
Estelle,32.87,63.0,55,1,9.17
Anadyr,64.73,32.0,91,90,46.98
Jiuquan,39.73,37.29,64,0,6.4
Oswego,37.17,51.8,87,90,8.41
Dawson Creek,55.76,41.0,93,1,2.24
Bonthe,7.53,79.05,88,8,4.27
Alofi,-19.06,82.4,69,75,13.87
Comodoro Rivadavia,-45.87,53.6,76,75,5.61
Fortuna,38.18,51.01,57,0,2.24
Avera,33.19,60.8,100,1,4.16
Northam,51.04,37.99,86,0,3.36
Cidreira,-30.17,58.89,91,0,3.71
Port Moresby,-9.47,82.4,83,40,6.93
Puerto Narino,-3.77,78.8,100,0,3.04
Teahupoo,-17.83,87.8,58,40,4.7
Ambunti,-4.22,75.72,100,88,2.48
Kidal,18.44,76.44,30,36,8.19
Visnes,59.36,41.0,86,88,11.41
Port-Gentil,-0.72,80.49,100,76,2.48
Dillon,45.22,37.4,64,1,9.17
Lagoa,37.14,60.01,72,0,8.05
Kailua,21.39,80.6,78,75,9.17
Toamasina,-18.17,77.0,94,40,2.15
Tenenkou,14.46,75.45,66,36,2.59
Ruwi,23.6,75.2,88,75,11.41
Barcelos,41.53,59.0,21,0,14.99
Touros,-5.2,77.0,94,20,4.7
Kalmunai,7.42,82.92,70,0,3.94
Uribia,11.71,77.25,74,0,15.01
Hofn,64.25,42.24,93,0,26.53
Paracuru,-3.41,81.0,88,20,2.48
Cassia,28.89,71.6,72,1,3.36
Laguna,27.52,71.67,38,8,3.6
Cap-aux-Meules,47.38,22.62,100,0,19.82
Vestmannaeyjar,63.44,42.69,94,92,19.82
Paamiut,61.99,25.5,100,64,25.3
Verkhnyaya Sinyachikha,57.98,31.08,86,8,7.74
Cap Malheureux,-19.98,77.0,94,40,15.23
Kathu,-27.7,62.01,73,0,1.01
Yar-Sale,66.83,27.39,89,48,18.48
Mazyr,52.05,33.96,94,68,10.76
Isla Mujeres,21.23,77.0,83,40,5.82
Port Hedland,-20.31,86.0,79,80,13.87
Okhotsk,59.36,29.55,69,0,5.73
Porto Novo,-23.68,68.0,82,0,2.71
Meulaboh,4.14,82.56,100,12,3.49
Tupik,54.43,13.62,47,0,3.94
Shelburne,44.08,28.4,58,1,10.65
Guatire,10.47,73.4,83,20,1.92
Helena,46.59,39.2,77,1,3.36
Nantucket,41.28,37.99,74,20,6.06
General Pico,-35.66,52.32,65,0,6.17
Sylacauga,33.17,62.6,72,90,5.82
Jalu,29.03,49.53,83,0,4.5
Punto Fijo,11.69,77.52,68,0,21.27
Turukhansk,65.8,25.23,94,92,15.23
Maketu,-37.76,75.0,80,0,14.0
Ambatondrazaka,-17.82,67.08,98,68,2.15
Camacha,33.08,62.6,77,40,20.8
Atambua,-9.11,83.19,99,12,4.83
Barcelona,41.38,55.99,81,40,6.93
Luancheng,37.88,66.2,17,0,6.71
Westport,53.8,48.99,76,44,1.01
Ust-Maya,60.42,10.83,57,20,6.73
Salalah,17.01,78.8,74,40,6.93
Tiksi,71.64,-3.67,76,0,4.38
Leshukonskoye,64.9,26.85,96,64,2.48
Roald,62.58,35.6,69,88,5.82
Las Guacamayas,18.02,72.75,100,0,2.48
Thibodaux,29.8,70.0,93,40,6.51
Novyy Urengoy,66.08,31.17,93,68,16.46
Brooks,50.57,39.99,87,0,10.42
Biltine,14.53,69.51,25,0,9.42
Aswan,24.09,48.36,72,0,2.59
Ibra,22.69,60.15,59,32,1.81
Houma,35.63,66.0,37,76,2.37
Dong Xoai,11.53,81.21,86,32,3.83
Gull Lake,50.1,35.6,93,40,17.22
Santa Vitoria do Palmar,-33.52,65.28,84,100,10.2
Marquard,-28.66,48.72,81,0,2.48
Lansing,42.73,33.01,39,1,4.7
Polson,47.69,39.99,74,1,2.04
Torbay,47.66,30.0,79,75,23.04
Mathbaria,22.29,85.26,67,0,4.05
Waipawa,-39.94,75.99,53,8,11.01
Abaete,-19.16,75.18,65,68,4.27
Mehamn,71.03,25.59,84,76,11.77
Chapaevsk,52.98,24.8,85,0,8.95
Juneau,58.3,46.4,65,75,2.15
Iberia,-11.41,75.09,95,12,2.48
Santa,17.49,85.8,49,0,3.94
Jining,35.41,71.49,48,20,12.66
Kutum,14.2,61.32,24,0,11.21
Nortelandia,-14.45,75.45,85,24,2.59
Tucupita,9.06,78.15,74,8,9.75
Namibe,-15.19,75.36,100,12,4.83
Balkhash,46.84,35.6,100,0,17.9
Ambilobe,-13.19,72.66,98,8,3.04
Bilibino,68.06,8.49,67,88,8.41
Kargat,55.19,24.24,99,64,7.18
Banjar,-7.37,81.03,83,56,3.27
Fiumicino,41.77,52.0,87,40,6.93
Ati,13.21,76.8,19,0,13.33
Hervey Bay,-25.3,87.8,48,75,10.29
Kargasok,59.06,28.38,75,0,4.72
Ponta Delgada,37.73,55.4,82,20,11.41
Rio Gallegos,-51.62,46.4,65,75,5.82
Zhezkazgan,47.8,37.4,93,90,8.95
Tilichiki,60.47,21.63,80,88,20.27
Hobyo,5.35,80.76,90,92,12.88
Matay,28.42,44.58,81,0,2.71
College,64.86,42.8,93,75,3.36
Hamilton,32.3,64.4,59,40,10.29
Mana,43.52,41.0,93,75,4.7
Kattivakkam,13.22,86.0,74,40,5.82
Hami,42.84,48.81,61,8,4.38
San Quintin,17.54,85.8,49,0,3.94
Stillwater,36.12,50.0,81,75,3.36
Lavrentiya,65.58,33.87,91,80,24.85
Kosovo Polje,43.8,32.0,93,92,8.05
Igrim,63.19,36.48,94,92,12.77
Chara,39.42,52.0,87,0,4.7
Sisimiut,66.94,14.07,85,68,2.37
Tual,-5.67,83.19,100,48,6.29
Dwarka,28.58,68.0,72,0,5.82
Nishihara,35.74,57.99,71,75,3.36
Clinton,41.84,37.0,80,1,4.7
Santa Ines,-0.82,51.01,93,75,6.93
Beyneu,45.32,27.84,82,0,2.82
Mount Isa,-20.73,75.2,100,90,13.87
Burnie,-41.05,62.01,50,32,11.01
Zell am See,47.32,35.6,82,75,5.82
Samarai,-10.62,83.46,98,44,15.46
Mallaig,57.01,43.0,90,88,16.46
Descalvado,-21.91,72.0,77,0,1.01
Mangaldai,26.43,78.8,65,40,10.2
Frekhaug,60.52,37.99,74,90,8.05
Carupano,10.67,76.8,88,36,14.79
Salta,-24.79,64.4,93,90,3.36
Mongo,4.83,69.15,100,88,3.27
Phangnga,8.45,87.8,55,20,9.17
Khorixas,-20.37,67.44,62,44,2.71
Aranos,-24.14,70.05,34,24,11.1
Strezhevoy,60.73,30.2,74,0,11.18
Najran,17.54,78.8,36,40,13.87
Mount Hagen,-5.86,67.62,82,48,2.48
Eyemouth,55.87,45.0,81,32,16.8
Tank,32.22,56.19,34,0,1.81
Huaihua,27.56,55.92,86,92,3.04
Tura,25.52,77.43,69,36,4.16
Hasaki,35.73,57.0,87,75,3.36
Ulaanbaatar,47.92,33.8,50,40,22.37
Pevek,69.7,15.6,83,68,17.81
Luderitz,-26.65,59.43,82,0,15.35
Hirado,33.32,64.0,51,20,18.34
Evanston,42.04,32.0,50,1,4.7
Muncar,-8.43,82.56,92,44,1.36
Caluquembe,-13.78,57.09,96,36,2.59
Sola,62.78,28.99,92,90,9.17
Ust-Kuyga,70.0,-3.13,73,0,4.27
Saint-Joseph,43.56,57.2,53,88,9.17
Sao Felix do Xingu,-6.64,70.59,100,92,1.59
Sayyan,15.17,43.68,77,0,3.94
Jeremie,18.65,75.54,100,76,4.61
Chicama,-7.84,68.0,88,0,9.17
Noumea,-22.28,87.8,55,75,9.17
Kavieng,-2.57,80.22,100,48,7.29
Mora,38.94,59.0,52,0,15.68
Mehran,33.12,44.6,93,40,4.7
Saldanha,41.42,42.69,44,0,16.24
Tias,28.96,59.0,77,56,4.7
Paranhos,-23.89,73.56,72,56,5.61
Mahalapye,-23.11,66.54,69,32,2.37
Reyes,-14.3,75.27,93,48,2.26
Okha,53.59,21.54,97,56,14.79
Manta,45.1,41.34,74,92,3.49
Balsas,-7.53,70.68,97,92,3.27
Yarada,17.65,82.4,83,20,3.36
Severnyy-Kospashskiy,59.09,30.99,82,88,5.99
Selyatino,55.52,35.01,63,0,4.47
Caxito,-22.65,70.59,97,0,4.94
Trybukhivtsi,49.04,39.99,93,75,6.71
Dunedin,-45.87,72.03,65,92,11.77
Humaita,-24.93,64.4,93,90,3.36
Iztapa,13.93,81.48,85,0,3.04
Guerrero Negro,27.97,59.88,80,0,7.74
Walvis Bay,-22.95,61.0,87,90,3.36
Severo-Yeniseyskiy,60.37,29.91,68,32,3.27
Abha,18.22,60.8,82,20,11.41
Kyrksaeterora,63.29,35.01,80,76,12.75
Goderich,43.74,32.0,59,0,1.01
Owensboro,37.77,46.99,100,1,11.21
Port Blair,11.67,86.0,62,40,6.93
Ishinomaki,38.42,57.2,87,75,16.11
Khani,41.96,35.6,93,0,2.24
Yinchuan,38.48,47.73,29,92,6.17
Mersing,2.43,85.08,77,92,8.63
Kununurra,-15.77,93.2,49,8,10.29
Matadi,-5.83,74.1,100,92,1.81
Kempsey,-31.08,82.0,72,88,5.99
San Ramon de la Nueva Oran,-23.13,67.98,96,68,7.4
Bronnoysund,65.46,33.01,92,0,3.36
Calderitas,18.55,78.8,78,5,10.29
Sunnyvale,37.37,59.0,100,90,3.36
Anori,-3.74,77.52,92,44,4.94
Dushanbe,38.58,59.0,41,20,11.18
Lompoc,34.64,55.99,62,1,4.7
Barranca,-10.75,67.35,100,36,8.63
Port Macquarie,-31.43,82.0,61,88,6.93
Itupiranga,-5.13,77.0,100,0,2.24
Simao,22.76,76.35,52,12,2.59
Kruisfontein,-34.0,57.99,87,0,5.61
Nalut,31.86,46.74,76,0,5.84
Rutland,43.61,28.0,58,1,3.36
Grenada,33.77,55.4,71,90,12.75
Atbasar,51.81,38.01,91,92,13.0
Tyukalinsk,55.87,27.39,95,92,18.48
Aripuana,-9.17,73.83,96,36,2.15
Evensk,61.92,27.21,96,44,17.02
Coruripe,-10.12,80.85,100,48,6.85
Lac du Bonnet,50.25,26.01,51,0,6.62
Lata,30.78,44.31,100,0,1.14
Itarema,-2.92,75.99,98,64,3.6
Mokhotlong,-29.29,39.09,91,80,2.26
Rosarito,4.91,73.4,100,75,3.36
Tautira,-17.73,87.8,58,40,4.7
Arlit,18.74,69.51,29,44,6.62
Askino,56.09,32.25,94,88,18.48
Jaisalmer,26.91,67.53,70,0,2.93
San Juan,14.6,91.99,43,20,6.93
Rundu,-17.91,71.31,41,44,5.61
Toccoa,34.58,53.01,93,1,2.04
Mikhaylovka,52.96,24.15,60,0,10.54
Vila do Maio,15.13,66.2,63,20,9.17
Morondava,-20.3,75.36,100,0,1.81
Martapura,-3.41,87.8,66,40,8.05
Viedma,-40.81,48.09,86,0,7.18
Oriximina,-1.77,76.89,91,64,2.71
Baruun-Urt,46.68,40.08,41,88,5.06
Sahuaripa,29.05,59.16,67,12,0.13
Novikovo,45.05,33.15,100,0,5.39
Lakeville,41.85,39.0,81,1,1.59
Amiens,49.89,42.8,70,90,10.29
Arman,59.7,18.75,65,0,10.87
Lagunas,-5.23,77.61,92,8,2.04
Rostock,54.09,41.0,86,75,16.11
San Juan de los Morros,9.91,63.75,92,0,2.15
Dalvik,57.79,34.0,83,0,12.75
Grindavik,63.84,42.01,86,90,31.09
Ondangwa,-17.91,75.2,60,92,8.05
Bongandanga,1.51,74.46,95,92,2.93
Cockburn Town,21.46,75.72,100,88,15.35
Venkatagiri,13.96,82.4,65,20,16.11
Klaksvik,62.23,46.4,93,92,10.29
Vao,59.1,25.77,84,12,8.97
Quatre Cocos,-20.21,77.0,94,40,12.44
San Martin,37.08,60.01,82,40,8.05
Socorro,13.06,84.0,70,68,8.99
Cortez,37.35,41.0,56,1,4.7
Vilhena,-12.74,70.86,95,56,0.92
Telimele,10.9,69.96,73,0,2.59
Mulchen,-37.72,50.16,74,0,2.82
Gold Coast,-28.0,88.0,65,40,10.29
Oxelosund,58.67,33.8,59,0,9.17
Madaoua,14.07,73.02,30,64,9.19
